slug,display_name,image_mode,image_url,image_credit,image_license,image_source_page,notes
kelmayisaurus,Kelmayisaurus,silhouette,,,,,
kentrosaurus,Kentrosaurus,silhouette,,,,,
kerberosaurus,Kerberosaurus,silhouette,,,,,
khaan,Khaan,silhouette,,,,,
khetranisaurus,Khetranisaurus,silhouette,,,,,
kileskus,Kileskus,silhouette,,,,,
kinnareemimus,Kinnareemimus,silhouette,,,,,
klamelisaurus,Klamelisaurus,silhouette,,,,,
kol,Kol,silhouette,,,,,
komlosaurus,Komlosaurus,silhouette,,,,,
koreaceratops,Koreaceratops,silhouette,,,,,
koreanosaurus,Koreanosaurus,silhouette,,,,,
koshisaurus,Koshisaurus,silhouette,,,,,
kosmoceratops,Kosmoceratops,silhouette,,,,,
kotasaurus,Kotasaurus,silhouette,,,,,
kritosaurus,Kritosaurus,silhouette,,,,,
kryptops,Kryptops,silhouette,,,,,
kulindadromeus,Kulindadromeus,silhouette,,,,,
kundurosaurus,Kundurosaurus,silhouette,,,,,
kuwajimasauropus,Kuwajimasauropus,silhouette,,,,,
labocania,Labocania,silhouette,,,,,
laevisuchus,Laevisuchus,silhouette,,,,,
lamaceratops,Lamaceratops,silhouette,,,,,
lambeosaurus,Lambeosaurus,silhouette,,,,,
lametasaurus,Lametasaurus,silhouette,,,,,
lamplughsaura,Lamplughsaura,silhouette,,,,,
lanzhousaurus,Lanzhousaurus,silhouette,,,,,
lapampasaurus,Lapampasaurus,silhouette,,,,,
laplatasaurus,Laplatasaurus,silhouette,,,,,
lapparentosaurus,Lapparentosaurus,silhouette,,,,,
laquintasaura,Laquintasaura,silhouette,,,,,
latirhinus,Latirhinus,silhouette,,,,,
lavinipes,Lavinipes,silhouette,,,,,
leaellynasaura,Leaellynasaura,silhouette,,,,,
leinkupal,Leinkupal,silhouette,,,,,
leonerasaurus,Leonerasaurus,silhouette,,,,,
leptoceratops,Leptoceratops,silhouette,,,,,
leptorhynchos,Leptorhynchos,silhouette,,,,,
leshansaurus,Leshansaurus,silhouette,,,,,
lesothosaurus,Lesothosaurus,silhouette,,,,,
lessemsaurus,Lessemsaurus,silhouette,,,,,
levnesovia,Levnesovia,silhouette,,,,,
leyesaurus,Leyesaurus,silhouette,,,,,
liaoceratops,Liaoceratops,silhouette,,,,,
liaoningosaurus,Liaoningosaurus,silhouette,,,,,
ligabueichnium,Ligabueichnium,silhouette,,,,,
ligabueino,Ligabueino,silhouette,,,,,
ligabuesaurus,Ligabuesaurus,silhouette,,,,,
liliensternus,Liliensternus,silhouette,,,,,
limayichnus,Limayichnus,silhouette,,,,,
limaysaurus,Limaysaurus,silhouette,,,,,
limusaurus,Limusaurus,silhouette,,,,,
linhenykus,Linhenykus,silhouette,,,,,
linheraptor,Linheraptor,silhouette,,,,,
linhevenator,Linhevenator,silhouette,,,,,
lirainosaurus,Lirainosaurus,silhouette,,,,,
liubangosaurus,Liubangosaurus,silhouette,,,,,
lohuecotitan,Lohuecotitan,silhouette,,,,,
lophorhothon,Lophorhothon,silhouette,,,,,
lophostropheus,Lophostropheus,silhouette,,,,,
loricatosaurus,Loricatosaurus,silhouette,,,,,
losillasaurus,Losillasaurus,silhouette,,,,,
lourinhanosaurus,Lourinhanosaurus,silhouette,,,,,
lourinhasaurus,Lourinhasaurus,silhouette,,,,,
luanchuanraptor,Luanchuanraptor,silhouette,,,,,
lufengopus,Lufengopus,silhouette,,,,,
lufengosaurus,Lufengosaurus,silhouette,,,,,
luluichnus,Luluichnus,silhouette,,,,,
luoyanggia,Luoyanggia,silhouette,,,,,
lurdusaurus,Lurdusaurus,silhouette,,,,,
lusotitan,Lusotitan,silhouette,,,,,
lycorhinus,Lycorhinus,silhouette,,,,,
lythronax,Lythronax,silhouette,,,,,
