occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,slug,id,diet_clean,diet_code,type_group,survival_span_ma,era_mid_ma,has_coords,has_length,match_pool,region_clean,hemisphere_ns,hemisphere_ew,attack_base,defense_base,mobility_base,data_quality_score,image_key,image_mode,image_url,image_credit,image_license,length_norm
913303,Leonerasaurus,,,,196.5,174.1,Chubut,-69.432693,-42.834061,Saurischia,,leonerasaurus,leonerasaurus-913303,unknown,0.4,unknown,22.400000000000006,185.3,True,False,False,Chubut,S,W,0.5,0.5,0.5,1,leonerasaurus,silhouette,,,,
914468,Qiupalong,,,,100.5,66.0,Henan,111.650002,34.016666,Saurischia,Ornithomimidae,qiupalong,qiupalong-914468,unknown,0.4,unknown,34.5,83.25,True,False,False,Henan,N,E,0.5,0.5,0.5,2,qiupalong,silhouette,,,,
914469,Yulong,,,,100.5,66.0,Henan,111.650002,34.016666,Saurischia,Oviraptoridae,yulong,yulong-914469,unknown,0.4,unknown,34.5,83.25,True,False,False,Henan,N,E,0.5,0.5,0.5,2,yulong,silhouette,,,,
914477,Luanchuanraptor,,,,100.5,66.0,Henan,111.650002,34.016666,Saurischia,Dromaeosauridae,luanchuanraptor,luanchuanraptor-914477,unknown,0.4,unknown,34.5,83.25,True,False,False,Henan,N,E,0.5,0.5,0.5,2,luanchuanraptor,silhouette,,,,
914482,Liubangosaurus,,,,145.0,100.5,Guangxi,107.907501,22.639444,Saurischia,,liubangosaurus,liubangosaurus-914482,unknown,0.4,unknown,44.5,122.75,True,False,False,Guangxi,N,E,0.5,0.5,0.5,1,liubangosaurus,silhouette,,,,
915510,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Utah,-109.337975,38.38448,Saurischia,,camarasaurus,camarasaurus-915510,herbivorous,0.2,sauropod,12.300000000000011,151.15,True,True,True,Utah,N,W,0.35,0.8,0.25,3,camarasaurus,silhouette,,,,0.6526772793053547
916049,Spinophorosaurus,,,,174.1,163.5,Agadez,7.864948,16.690086,Saurischia,,spinophorosaurus,spinophorosaurus-916049,unknown,0.4,unknown,10.599999999999994,168.8,True,False,False,Agadez,N,E,0.5,0.5,0.5,1,spinophorosaurus,silhouette,,,,
916440,Tapuiasaurus,,,,125.0,113.0,Minas Gerais,-44.360279,-16.684441,Saurischia,Nemegtosauridae,tapuiasaurus,tapuiasaurus-916440,unknown,0.4,unknown,12.0,119.0,True,False,False,Minas Gerais,S,W,0.5,0.5,0.5,2,tapuiasaurus,silhouette,,,,
920587,Albinykus,,,,86.3,83.6,Dornogov,109.35318,44.393677,Saurischia,,albinykus,albinykus-920587,unknown,0.4,unknown,2.700000000000003,84.94999999999999,True,False,False,Dornogov,N,E,0.5,0.5,0.5,1,albinykus,silhouette,,,,
923798,Melanorosaurus,omnivorous,sauropod,12.0,228.0,201.3,Mohale's Hoek,27.483334,-30.516666,Saurischia,,melanorosaurus,melanorosaurus-923798,omnivorous,0.6,sauropod,26.69999999999999,214.65,True,True,True,Mohale's Hoek,S,E,0.65,0.8,0.25,3,melanorosaurus,silhouette,,,,0.33429811866859627
929493,Anchiornis,,,,167.7,150.8,Liaoning,119.434402,40.586391,Saurischia,,anchiornis,anchiornis-929493,unknown,0.4,unknown,16.899999999999977,159.25,True,False,False,Liaoning,N,E,0.5,0.5,0.5,1,anchiornis,silhouette,,,,
930849,Plateosaurus,herbivorous,sauropod,7.0,228.0,208.5,Baden-Württemberg,8.636111,48.075001,Saurischia,Plateosauridae,plateosaurus,plateosaurus-930849,herbivorous,0.2,sauropod,19.5,218.25,True,True,True,Baden-Württemberg,N,E,0.35,0.8,0.25,4,plateosaurus,silhouette,,,,0.18958031837916064
930951,Dyslocosaurus,,,,157.3,145.0,Wyoming,-104.28611,43.2425,Saurischia,Dicraeosauridae,dyslocosaurus,dyslocosaurus-930951,unknown,0.4,unknown,12.300000000000011,151.15,True,False,False,Wyoming,N,W,0.5,0.5,0.5,2,dyslocosaurus,silhouette,,,,
931121,Plateosaurus,herbivorous,sauropod,7.0,228.0,201.3,Eastern Cape,27.183332,-30.733334,Saurischia,Plateosauridae,plateosaurus,plateosaurus-931121,herbivorous,0.2,sauropod,26.69999999999999,214.65,True,True,True,Eastern Cape,S,E,0.35,0.8,0.25,4,plateosaurus,silhouette,,,,0.18958031837916064
931127,Melanorosaurus,omnivorous,sauropod,12.0,228.0,201.3,Leribe,28.066668,-28.833332,Saurischia,,melanorosaurus,melanorosaurus-931127,omnivorous,0.6,sauropod,26.69999999999999,214.65,True,True,True,Leribe,S,E,0.65,0.8,0.25,3,melanorosaurus,silhouette,,,,0.33429811866859627
931128,Blikanasaurus,,,,228.0,201.3,Free State,27.341667,-29.219999,Saurischia,,blikanasaurus,blikanasaurus-931128,unknown,0.4,unknown,26.69999999999999,214.65,True,False,False,Free State,S,E,0.5,0.5,0.5,1,blikanasaurus,silhouette,,,,
931162,Melanorosaurus,omnivorous,sauropod,12.0,228.0,201.3,Free State,27.341667,-29.219999,Saurischia,,melanorosaurus,melanorosaurus-931162,omnivorous,0.6,sauropod,26.69999999999999,214.65,True,True,True,Free State,S,E,0.65,0.8,0.25,3,melanorosaurus,silhouette,,,,0.33429811866859627
