name,slug,display_name,occurrence_count,exemplar_occurrence_no,diet,type,type_group,length_m,max_ma,min_ma,era_mid_ma,survival_span_ma,class_name,family,region_example,lat,lng,unique_regions,has_any_coords,has_any_length,match_pool,data_quality_score,attack_base,defense_base,mobility_base,id,diet_code,length_norm,image_key,image_mode,image_url,image_credit,image_license
Saurornithoides,saurornithoides,Saurornithoides,5,457756,carnivorous,small theropod,theropod,3.0,83.6,66.0,74.8,12.900000000000006,Saurischia,Troodontidae,Omnogov,43.316387,100.901947,4,True,True,True,4,1.0,0.55,0.9,saurornithoides,1.0,0.07380607814761216,saurornithoides,silhouette,,,
Saurornitholestes,saurornitholestes,Saurornitholestes,136,248042,carnivorous,small theropod,theropod,1.5,85.8,66.0,77.05,12.900000000000006,Saurischia,Dromaeosauridae,Alberta,49.099035,-110.670513,10,True,True,True,4,1.0,0.55,0.9,saurornitholestes,1.0,0.03039073806078148,saurornitholestes,silhouette,,,
Savannasaurus,savannasaurus,Savannasaurus,1,1346460,unknown,,unknown,,105.3,89.3,97.3,16.0,Saurischia,,Queensland,-22.348333,143.089172,1,True,False,False,1,0.5,0.5,0.5,savannasaurus,0.4,,savannasaurus,silhouette,,,
Scansoriopteryx,scansoriopteryx,Scansoriopteryx,1,877682,unknown,,unknown,,129.4,125.0,127.2,4.400000000000006,Saurischia,Scansoriopterygidae,Liaoning,41.366669,121.416664,1,True,False,False,2,0.5,0.5,0.5,scansoriopteryx,0.4,,scansoriopteryx,silhouette,,,
Scelidosaurus,scelidosaurus,Scelidosaurus,7,269492,herbivorous,armored dinosaur,armored,4.0,208.5,174.1,195.05,8.5,Ornithischia,,England,50.733959,-2.903611,2,True,True,True,3,0.35,1.0,0.3,scelidosaurus,0.2,0.10274963820549927,scelidosaurus,silhouette,,,
Scipionyx,scipionyx,Scipionyx,1,639671,unknown,,unknown,,112.03,109.0,110.515,3.030000000000001,Saurischia,Compsognathidae,Campania,41.347778,14.548056,1,True,False,False,2,0.5,0.5,0.5,scipionyx,0.4,,scipionyx,silhouette,,,
Sciurumimus,sciurumimus,Sciurumimus,1,1052616,unknown,,unknown,,155.7,150.8,153.25,4.899999999999977,Saurischia,,Bayern,49.007839,11.826369,1,True,False,False,1,0.5,0.5,0.5,sciurumimus,0.4,,sciurumimus,silhouette,,,
Scolosaurus,scolosaurus,Scolosaurus,3,565085,unknown,,unknown,,83.6,70.6,77.85,11.5,Ornithischia,Ankylosauridae,Montana,48.910999,-112.641998,2,True,False,False,2,0.5,0.5,0.5,scolosaurus,0.4,,scolosaurus,silhouette,,,
Scutellosaurus,scutellosaurus,Scutellosaurus,3,149981,herbivorous,armored dinosaur,armored,1.2,199.3,182.7,191.0,16.600000000000023,Ornithischia,,Arizona,35.736668,-111.073608,1,True,True,True,3,0.35,1.0,0.3,scutellosaurus,0.2,0.021707670043415343,scutellosaurus,silhouette,,,
Secernosaurus,secernosaurus,Secernosaurus,3,457538,herbivorous,ornithopod,ornithopod,3.0,83.6,66.0,74.8,17.599999999999994,Ornithischia,Hadrosauridae,Río Negro,-42.133331,-66.333336,2,True,True,True,4,0.35,0.6,0.75,secernosaurus,0.2,0.07380607814761216,secernosaurus,silhouette,,,
